IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-15548066828151135,PL,ExclusiveKG,4 sty. 2026,sales,56811679933856,23%,2,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-20,
PO-162-04048087859830046,PL,ExclusiveKG,11 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-69,
PO-162-07835347464312048,PL,ExclusiveKG,25 sty. 2026,sales,53315576577817,23%,1,PL,PL,"16,43","3,57","0,00","10,56","0,00","0,00","3,78","0,82","0,00","2,43","7,03",PLN,INV-PL-1220800-2026-158,INV-PL-1220800-2026-159
PO-162-02962215708791382,PL,ExclusiveKG,27 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-182,
PO-162-05592106102393165,PL,ExclusiveKG,1 sty. 2026,sales,60132494973231,23%,1,PL,PL,"74,37","0,00","0,00","0,00","0,00","0,00","17,11","0,00","0,00","0,00","17,11",PLN,INV-PL-1220800-2026-1,
PO-162-15210715450233144,PL,ExclusiveKG,4 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-31,
PO-162-02247540471672618,PL,ExclusiveKG,23 sty. 2026,return,58718645412546,23%,1,PL,PL,"-12,21","0,00","0,00","-10,56","0,00","0,00","-2,81","0,00","0,00","-2,43","-5,24",PLN,,
PO-162-13660889713270127,PL,ExclusiveKG,24 sty. 2026,sales,67849745899989,23%,1,PL,PL,"9,16","1,84","0,00","10,56","0,00","0,00","2,11","0,42","0,00","2,43","4,96",PLN,INV-PL-1220800-2026-167,INV-PL-1220800-2026-168
PO-162-02766615237750500,PL,ExclusiveKG,27 sty. 2026,sales,55712168313383,23%,1,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-177,
PO-162-00238189686391045,PL,ExclusiveKG,31 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
